NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	TIM
1	1sg	1209	I	
2	2pl.excl	1213	YOU	
3	2pl.incl	1131	WE (INCLUSIVE)	
4	2sg	1215	THOU	
5	3sg	262	HE OR SHE OR IT	
6	ablative			
7	above, top	2379	UP OR ABOVE	
8	achieve, obtain	694	GET	
9	aconite			
10	after	1685	AFTERWARDS	
11	afternoon	1807	AFTERNOON	
12	agent			
13	alive, healthy	1422	BE ALIVE	
14	all	98	ALL	
15	allative			
16	amaranth			
17	angry (vi)	2223	BE ANGRY	
18	ant	587	ANT	
20	arrow	977	ARROW	
21	ascend	705	GO UP (ASCEND)	
22	ash	646	ASH	
23	ask	1309	ASK (INQUIRE)	
24	associative			
25	attic			
26	axe	677	AXE	
27	back (n)	1291	BACK	
28	back (wards)	2910	BACK (DIRECTION)	
29	bad	1292	BAD	
30	bamboo	1927	BAMBOO	
31	banana	868	BANANA	
32	barley	932	BARLEY	
33	bastard	1947	BASTARD	
34	bat	1793	BAT	
35	beans	832	BEAN	
36	bear	1820	BEAR	
37	beat, hit	1433	HIT	
38	beautiful	1427	BEAUTIFUL	
39	bee	665	BEE	
40	beer filter			
41	beer strainer			
42	behind	1686	BEHIND	
43	belly, abdomen	2114	BELLY OR STOMACH	
44	belt	772	BELT	
45	big	1202	BIG	
46	bind (v)	1917	TIE	
47	bird	937	BIRD	
48	bite	1403	BITE	
49	bitter (vi)	887	BITTER	
50	black	163	BLACK	
51	blood	946	BLOOD	
52	blow	176	BLOW (WITH MOUTH)	
53	blow (wind)	175	BLOW (OF WIND)	
54	boar, wild	1348	BOAR	
55	boil  (water)	792	BOIL (OF LIQUID)	
56	boil (n)	793	BOIL (OF SKIN)	
57	bone	1394	BONE	
58	borrow	1823	BORROW	
59	bow	994	BOW	
60	brain	1583	BRAIN	
61	branch	1531	BRANCH	
62	break	2558	BREAK (CLEAVE)	
63	breast, milk	2129	BREAST OR MILK	
64	breath	870	BREATH	
65	bridge	1011	BRIDGE	
66	bridge, hanging	1011	BRIDGE	
67	bring	692	BRING	
68	brother (elder)	1759	OLDER BROTHER	
69	brother-in-law	2314	BROTHER-IN-LAW	
70	brother, younger	1760	YOUNGER BROTHER	
71	buckwheat, bitter			
72	buckwheat, sweet			
73	buffalo	934	BUFFALO	
74	Bugun			
75	burn (vi)	1428	BURNING	
76	burn, roast (vt)	1962	ROAST (SOMETHING)	
77	butter	1245	BUTTER	
78	butterfly	1791	BUTTERFLY	
79	buy	1869	BUY	
80	call for	1084	CALL	
81	cane			
82	cap, hat	2130	HEADGEAR	
83	carry	465	CARRY ON BACK	
84	cat	1208	CAT	
85	cattle, cow	1153	CATTLE	
86	cave	1155	CAVE	
87	charcoal	1188	CHARCOAL	
88	chest	1592	CHEST	
89	chew	321	CHEW	
90	chicken	1318	CHICKEN	
91	child	1801	CHILD (DESCENDANT)	
92	chili	919	CHILI PEPPER	
93	chin	1510	CHIN	
94	civet or spotted wild cat			
95	civet, palm			
96	clean	704	CLEAN	
97	cliff, ravine			
97	cliff, ravine	1930	RAVINE	
98	clitoris			
99	clothing	1895	CLOTHES	
100	cloud, mist, fog			
100	cloud, mist, fog			
101	cockroach	1575	COCKROACH	
102	cold	1287	COLD	
103	cold (vi)			
104	comb	1475	COMB	
105	come	1446	COME	
106	comparative degree			
107	cook	1100	COOK (SOMETHING)	
108	copula, existential	1579	BE	
109	copula, negative			
110	corpse	767	CORPSE	
111	cotton	1850	COTTON	
112	cough (vi)	879	COUGH	
113	count	1420	COUNT	
114	cover (v)	761	COVER	
115	creeper, vine			
116	crow	913	CROW	
117	cry	1839	CRY	
118	cucumber	496	CUCUMBER	
119	curcuma sp.			
120	cure (vi)			
121	cut	2156	CUT (WITH KNIFE)	
122	dance	1879	DANCE	
123	daughter	1357	DAUGHTER	
124	daughter-in-law	1057	DAUGHTER-IN-LAW	
125	day after tomorrow	1179	DAY AFTER TOMORROW	
126	day after two days		!DAY AFTER TWO DAYS	
127	day before two days		!DAY BEFORE TWO DAYS	
128	day before yesterday	1180	DAY BEFORE YESTERDAY	
129	deaf	996	DEAF	
130	deep	1593	DEEP	
131	deer, barking			
132	deer, sambar	1936	DEER	
133	defeat (vi)			
134	deity, ghost	1944	GOD	
135	descend	2014	GO DOWN (DESCEND)	
136	die	1494	DIE	
137	dig	1418	DIG	
138	dirty	1230	DIRTY	
139	disease	1986	DISEASE	
140	do	813	DO	
141	dog	2009	DOG	
142	dog, wild	2448	WILD DOG	
143	door	1567	DOOR	
144	down	1326	DOWN	
145	down (visible)			
146	dragon, thunder, lightning		!LIGHTNING OR THUNDER	
147	dream (n)	2374	DREAM	
148	drink	1401	DRINK	
149	dry (adj.)	1398	DRY	
150	dry, dry up (v.i.)	1786	DRY UP	
151	dual			
152	eagle, buzzard		!BUZZARD OR EAGLE	
153	ear	1247	EAR	
154	earthworm	2350	EARTHWORM	
155	eat	1336	EAT	
156	egg	744	EGG	
157	eggplant	1146	AUBERGINE	
158	eight	1705	EIGHT	
159	elbow	981	ELBOW	
160	elephant	1290	ELEPHANT	
161	empty	1624	EMPTY	
162	excrement	675	FAECES (EXCREMENT)	
163	excrete	676	SHIT (DEFECATE)	
164	exit	1107	GO OUT	
165	eye	1248	EYE	
166	face	1560	FACE	
167	falcon			
168	fall	1280	FALL	
169	far	1406	FAR	
170	fast	1631	FAST	
171	fat (n)	1282	FAT (FROM ANIMALS)	
172	father	1217	FATHER	
173	fear (vi)	1419	FEAR (BE AFRAID)	
174	female	1551	FEMALE	
175	fence	1690	FENCE	
176	fern, fiddlehead			
177	fetch			
178	few, little	1242	FEW	
179	field	212	FIELD	
180	finger	1303	FINGER	
181	fire	221	FIRE	
182	fire prefix			
183	fish	227	FISH	
184	five	493	FIVE	
185	flame	889	FLAME	
186	flee	956	FLEE	
187	float	1574	FLOAT	
188	flour	1594	FLOUR	
189	flow	2003	FLOW	
190	fly (n)	1504	FLY (INSECT)	
191	fly (vi)	1441	FLY (MOVE THROUGH AIR)	
192	fodder	3046	FODDER	
193	food	256	FOOD	
194	forehead	123	FOREHEAD	
195	forest	420	FOREST	
196	forget	1523	FORGET	
197	four	1500	FOUR	
198	friend	1325	FRIEND	
199	frog	503	FROG	
200	frost	2034	FROST	
201	fruit	1507	FRUIT	
202	frying pan	31	PAN	
203	full	1429	FULL	
204	gall, bile	1780	BILE	
205	garden	586	GARDEN	
206	garlic	2368	GARLIC	
207	give	1447	GIVE	
208	go	695	GO	
209	goat	1502	GOAT	
210	goitre	1957	GOITER	
211	gold	1369	GOLD	
212	good	1035	GOOD	
213	goral			
214	gourd	411	GOURD	
215	grandfather	1383	GRANDFATHER	
216	grandmother	1496	GRANDMOTHER	
217	green	1425	GREEN	
218	grind, pound	1033	GRIND	
219	gum	139	GUMS	
220	hail	609	HAIL	
221	hair (body): feather	2381	FEATHER OR FUR OR HAIR	
222	hair (head)	2648	HAIR (HEAD)	
223	halt, stop	2880	HALT (STOP)	
224	hand, arm	2121	ARM OR HAND	
225	hard	1884	HARD	
226	hatch	3116	HATCH (OUT)	
227	head	1256	HEAD	
228	heart	1223	HEART	
229	hearth, fireplace	185	FIREPLACE	
230	heavy	1210	HEAVY	
231	here	136	HERE	
232	hide	2486	HIDE	
233	hold	1448	HOLD	
234	honey	942	HONEY	
235	horn	1393	HORN (ANATOMY)	
236	hornbill			
237	hornet			
238	horse	615	HORSE	
239	horsefly			
240	house	1252	HOUSE	
241	how many	822	HOW MANY	
242	human being	683	PERSON	
243	human being prefix			
244	hungry (vi)	1533	BE HUNGRY	
245	hunter	1053	HUNTER	
246	husband	1200	HUSBAND	
247	ice	617	ICE	
248	imperative			
249	in	1460	IN	
250	Indo-Aryan person			
251	insect	620	INSECT	
252	intestines	1991	INTESTINES	
253	iron	621	IRON	
254	itch	148	ITCH	
255	jackal			
256	Jerigaon people			
257	jump	1829	JUMP	
258	keep, remain	987	REMAIN	
259	Khoitam people			
260	kick (v)	1135	KICK	
261	kill	1417	KILL	
262	kiss (n)	578	KISS	
263	knee	1371	KNEE	
264	know	1410	KNOW (SOMETHING)	
265	ladder	1464	LADDER	
266	language	1307	LANGUAGE	
267	langur			
268	lap			
269	late (vi)	425	BE LATE	
270	laugh	1355	LAUGH	
271	leaf	628	LEAF	
272	leaf litter			
273	leech, land			
274	leech, water	949	WATER LEECH	
275	left (side)	244	LEFT	
276	leg	1297	LEG	
277	lick	319	LICK	
278	lie (n)	475	UNTRUTH	
279	lift completely, carry	501	LIFT	
280	light	1052	LIGHT (WEIGHT)	
281	lightning	1654	LIGHTNING	
282	like, love			
283	liquor	842	LIQUOR	
284	listen, heed	1635	OBEY	
285	live, stay	363	DWELL (LIVE, RESIDE)	
286	liver	1224	LIVER	
287	load (n)	1679	LOAD	
288	locative			
289	long	1203	LONG	
290	look	1819	LOOK	
291	louse	1392	LOUSE	
292	lungs	688	LUNG	
293	macaque			
294	machete	2680	MACHETE	
295	maize	506	MAIZE	
296	make	734	MAKE	
297	male	1553	MALE	
298	man	1554	MAN	
299	manure	2057	DUNG (ANIMAL FAECES)	
300	marrow	1835	MARROW	
301	marten			
302	meat, animal	2096	ANIMAL OR MEAT	
303	medicine	1372	MEDICINE	
304	meet	1831	MEET	
305	melt	2334	MELT	
306	middle / centre	1093	MIDDLE	
307	Miji people			
308	millet, broomcorn			
309	millet, finger		!FINGER MILLET	
310	millet, foxtail		!FOXTAIL MILLET	
311	mithun			
312	Monpa			
313	moon, month	2463	MOON OR MONTH	
314	morning	1339	MORNING	
315	mortar (wood)			
316	mother	1216	MOTHER	
317	mountain	639	MOUNTAIN	
318	mountain peak	1614	SUMMIT	
319	mouse, rat	2139	MUROID (MOUSE OR RAT)	
320	mouth	674	MOUTH	
321	much	1198	MANY	
322	mud	640	MUD	
323	mushroom	641	MUSHROOM	
324	naga, serpent deity			
325	nail	1896	FINGERNAIL OR TOENAIL	
326	name	1405	NAME	
327	Namshu people			
328	navel	1838	NAVEL	
329	neck	1333	NECK	
330	need to, have to	971	MUST	
331	needle	1382	NEEDLE (FOR SEWING)	
332	negative prefix			
333	nest, hive, womb			
334	net for fishing	388	FISHNET	
335	new	1231	NEW	
336	night	1233	NIGHT	
337	nine	1483	NINE	
338	nomen agentis			
339	nominaliser			
340	noon	12	MIDDAY	
341	nose	1221	NOSE	
342	oil	2556	OIL (HYDROPHOBIC LIQUID)	
343	okay			
344	old	2113	OLD (USED)	IS THIS OLD OR AGED?
345	one	1493	ONE	
346	other	197	OTHER	
347	otter	15	OTTER	
348	outside	762	OUTSIDE	
349	palm, sole			
350	pangolin	2508	PANGOLIN	
351	partridge			
352	path, road	2457	PATH OR ROAD	
353	patient marker			
354	peas	2025	PEA	
355	penis	1222	PENIS	
356	pheasant, kalij			
357	pheasant, tragopan			
358	pig	1337	PIG	
359	pillow	1044	PILLOW	
360	pinch	378	PINCH	
361	pine kindle			
362	plait	333	PLAIT	
363	plant  (vt)	1486	PLANT (SOMETHING)	
364	play	1413	PLAY	
365	plough (v)	1921	PLOUGH	
366	plural			
367	poison	655	POISON	
368	porcupine	2510	PORCUPINE	
369	potato-bean			
370	pour	1487	POUR	
371	present	2982	GIFT	
372	prohibitive prefix			
373	pull	1455	PULL	
374	pulse			
375	pumpkin	864	PUMPKIN	
376	Puroik			
377	pus	1808	PUS	
378	push	1452	PUSH	
379	put	998	PUT	
380	quarrel (v)	1848	QUARREL	
381	question			
382	quiver	52	SHIVER	
383	radish	2365	RADISH	
384	Rahung, people of			
385	rain (n)	658	RAIN (PRECIPITATION)	
386	rainbow	1733	RAINBOW	
387	reap	1827	HARVEST CROPS	
388	recognise	2248	KNOW (SOMEBODY)	
389	red	156	RED	
390	reflexive marker			
391	rest (n)			
392	rib	801	RIB	
393	rice, husked	926	RICE	
394	rice, unhusked, paddy	2749	UNHUSKED RICE	
395	ride, mount			
				
396	right	1019	RIGHT	
397	ripe	178	RIPE	
398	roof	769	ROOF	
399	root	670	ROOT	
400	rope	1218	ROPE	
401	rot (vi)	569	SPOIL (BECOME SPOILED)	
402	round, small object	2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	TIM
403	rub	1449	RUB	
404	rub; sharpen	251	SHARPEN (SOMETHING)	
405	run	1519	RUN	
406	sago	2270	SAGO	
407	saliva	1503	SALIVA	
408	salt	1274	SALT	
409	same, equal	200	SAME	
410	sand	671	SAND	
411	say	1458	SAY	
412	scratch	1436	SCRATCH	
413	search	1468	LOOK FOR	
414	see	1409	SEE	
415	seed	714	SEED	
416	serow			
417	settle			
418	seven	1704	SEVEN	
419	sew	1457	SEW	
420	shade	1388	SHADE	
421	shake	1909	SHAKE	
422	sharp	1396	SHARP	
423	sheep	1331	SHEEP	
424	shelf	745	SHELF	
425	Sherdukpen			
426	Shergaon, people of			
427	shoe, footwear	1381	SHOE	
428	shoot	1172	SHOOT	
429	short	1645	SHORT	
430	shoulder	1482	SHOULDER	
431	shy, ashamed (vi)	1894	ASHAMED	
432	sick (vi)	1847	SICK	
433	silver	759	SILVER	
434	sing	1261	SING	
435	sister-in-law	2317	SISTER-IN-LAW	
436	sister, elder	1758	OLDER SISTER	
437	sister, younger	1761	YOUNGER SISTER	
438	sit	1416	SIT	
439	six	1703	SIX	
440	skin, bark	2127	BARK OR SKIN	
441	sky	1732	SKY	
442	sleep	1585	SLEEP	
443	slowly	2165	SLOWLY	
444	small	1246	SMALL	
445	smell (n)		!SMELL (EMITTED ODOUR)	
446	smell1 (vi)	2124	SMELL	
	smell2 (vi)			
448	smoke	778	SMOKE (EXHAUST)	
449	snake	730	SNAKE	
450	snatch away			
451	snow	784	SNOW	
452	soda ash			
453	soft / smooth	1856	SOFT	
454	soil, earth	1228	EARTH (SOIL)	
455	son	1620	SON	
456	son-in-law	1056	SON-IN-LAW	
457	song	1096	SONG	
458	soup, liquid, broth, juice			
459	sour	1906	SOUR	
460	sow, broadcast	748	SOW SEEDS	
461	soybean	2027	SOYA	
462	sparrow	1854	SPARROW	
463	speak	1623	SPEAK	
464	spear	945	SPEAR	
465	spicy, pungent	544	SPICY	
466	spider	843	SPIDER	
467	spirit, soul, shadow			
468	spit	1440	SPIT	
469	spittle, spit	1503	SALIVA	
470	split	1437	SPLIT	
471	squirrel	1628	SQUIRREL	
472	squirrel, flying			
473	stab	1434	STAB	
474	stand (up)	1442	STAND	
475	star	1430	STAR	
476	steal	713	STEAL	
477	steam	1193	STEAM	
478	stich			
479	stick	1295	STICK	
480	stone	857	STONE	
481	story	2060	STORY	
482	straight	1404	STRAIGHT	
483	stump (tree)	241	TREE STUMP	
484	suck	1421	SUCK	
485	sugarcane	146	SUGAR CANE	
486	sun, day	2140	DAY OR SUN	
487	swallow	897	SWALLOW	
488	sweet	717	SWEET	
489	swell	1573	SWELL	
490	tail	1220	TAIL	
491	take	1749	TAKE	
492	takin			
493	taro	351	TARO	
494	tasty	1813	TASTY	
495	tear (vt)	1735	TEAR (SHRED)	
496	tell	1711	TELL	
497	ten	1515	TEN	
498	that	78	THAT	
499	that side			
500	Thembang people			
501	thick	1244	THICK	
502	thief	1160	THIEF	
503	thigh	800	THIGH	
504	thin	2308	THIN	
505	thing	738	THING	
506	think	2271	THINK	
507	thirsty (vi)	847	THIRSTY	
508	this	1214	THIS	
509	thorn	124	THORN	
510	thousand	1843	THOUSAND	
511	thread	1161	THREAD	
512	three	492	THREE	
513	throw	1456	THROW	
514	thunder (vi)	2378	THUNDER (VERB)	
515	tie (vt)	1917	TIE	
516	tiger	846	TIGER	
517	till (hoe)		!DIG WITH HOE	
518	tired (vi)	1757	TIRED	
519	today	1283	TODAY	
520	together with	2482	TOGETHER	
521	tomorrow	1329	TOMORROW	
522	tongue	1205	TONGUE	
523	tooth	1380	TOOTH	
524	trivet			
525	trunk (tree)	344	TREE TRUNK	
526	tuber	670	ROOT	
527	tusk	2495	ELEPHANT TUSK	
528	twenty	1710	TWENTY	
529	twist	430	TWIST	
530	two	1498	TWO	
531	under, below	1485	BELOW OR UNDER	
532	up there			
533	up; ascend	705	GO UP (ASCEND)	
534	uproot			
535	urine	1142	URINE	
536	vagina	1836	VAGINA	
537	vegetable, leafy	924	VEGETABLES	
538	veranda			
539	village	930	VILLAGE	
540	vomit	1278	VOMIT	
541	waist	1681	WAIST	
542	wait	1590	WAIT (FOR)	
543	wake up	1602	WAKE UP	
544	walk, move, go	695	GO	
545	walking stick	1296	WALKING STICK	
546	walnut	2042	WALNUT	
547	warm, hot (adj.)	2272	HOT OR WARM	
548	warm, hot (vi)	2032	WARM UP	
549	wash	1453	WASH	
550	water	948	WATER	
551	wealthy	712	RICH	TIM
552	wear	976	WEAR	
553	weave	133	WEAVE	
554	weed, grass	606	GRASS	
555	wet	1726	WET	
556	wheat	1077	WHEAT	
557	when	1238	WHEN	
558	where	1237	WHERE	
559	white	1335	WHITE	
560	who	1235	WHO	
561	wife	1199	WIFE	
562	wind	960	WIND	
563	window	1375	WINDOW	
564	wing	1257	WING	
565	wipe	1454	WIPE	
566	woman	962	WOMAN	
567	wood	1803	WOOD	
568	wool	964	WOOL	
569	word	1599	WORD	
570	work	1086	WORK (ACTIVITY)	
571	wring, squeeze	1414	SQUEEZE	
572	year	1226	YEAR	
573	year, next	515	NEXT YEAR	
574	year, this	513	THIS YEAR	
575	yellow	1424	YELLOW	
576	yesterday	1174	YESTERDAY	
