NUMBER	ENGLISH
1	1sg
2	2pl.excl
3	2pl.incl
4	2sg
5	3sg
6	ablative
7	above, top
8	achieve, obtain
9	aconite
10	after
11	afternoon
12	agent
13	alive, healthy 
14	all
15	allative
16	amaranth
17	angry (vi)
18	ant
19	arrive
20	arrow
21	ascend
22	ash
23	ask
24	associative 
25	attic
26	axe
27	back (n)
28	back (wards) 
29	bad1
30	bad2
31	bamboo
32	banana 
33	barley 
34	bastard
35	bat
36	beans
37	bear
38	beat, hit
39	beautiful
40	bee
41	beer filter
42	beer strainer
43	behind
44	belly, abdomen
45	belt
46	big 
47	bind (v)
48	bird
49	bite
50	bitter (vi)
51	black
52	blood
53	blow 
54	blow (wind)
55	boar, wild 
56	boil  (water)
57	boil (n)
58	bone
59	borrow1 
60	borrow2 
61	bow
62	brain
63	branch
64	break
65	breast, milk 
66	breath
67	bridge
68	bridge, hanging
69	bring
70	brother (elder)
71	brother-in-law
72	brother, younger 
73	buckwheat, bitter 
74	buckwheat, sweet 
75	buffalo
76	Bugun 
77	burn (vi)
78	burn, roast (vt)
79	butter
80	butterfly
81	buy
82	call for
83	cane
84	cap, hat
85	carry 
86	cat
87	cattle, cow
88	cave
89	charcoal
90	chest
91	chew
92	chicken
93	child
94	chili
95	chin
96	civet or spotted wild cat 
97	civet, palm 
98	clean
99	cliff, ravine
100	clitoris
101	clothing
102	cloud, mist, fog
103	cockroach
104	cold
105	cold (vi) 
106	comb
107	come
108	comparative degree
109	cook1 
110	cook2 
111	copula, existential
112	copula, negative
113	corpse
114	cotton
115	cough (vi)
116	count
117	cover (v)
118	creeper, vine
119	crow
120	cry
121	cucumber
122	curcuma sp.
123	cure (vi)
124	cut
125	dance
126	daughter
127	daughter-in-law 
128	day after tomorrow
129	day after two days
130	day before two days
131	day before yesterday
132	deaf
133	deep
134	deer, barking 
135	deer, sambar 
136	defeat (vi) 
137	deity, ghost
138	descend
139	die
140	dig
141	dirty
142	disease 
143	do
144	dog
145	dog, wild 
146	door
147	down 
148	down (visible)
149	dragon, thunder, lightning
150	dream (n)
151	drink
152	dry (adj.)
153	dry, dry up (v.i.)
154	dual 
155	eagle, buzzard
156	ear
157	earthworm
158	eat
159	egg
160	eggplant
161	eight
162	elbow
163	elephant
164	empty
165	excrement
166	excrete 
167	exit
168	eye
169	face1
170	face2 
171	falcon
172	fall1 
173	fall2
174	far
175	fast
176	fat (n)
177	father
178	fear (vi)
179	female 
180	fence
181	fern, fiddlehead 
182	fetch
183	few, little
184	field 
185	finger 
186	fire
187	fire prefix
188	fish
189	five
190	flame
191	flee
192	float
193	flour
194	flow
195	fly (n)
196	fly (vi)
197	fodder
198	food 
199	forehead
200	forest1 
201	forest2 
202	forget
203	four 
204	friend
205	frog 
206	frost
207	fruit
208	frying pan
209	full
210	gall, bile
211	garden
212	garlic
213	give
214	go
215	goat
216	goitre
217	gold
218	good 
219	goral 
220	gourd
221	grandfather
222	grandmother
223	green
224	grind, pound
225	gum 
226	hail
227	hair (body): feather
228	hair (head)
229	halt, stop
230	hand, arm
231	hard
232	hatch
233	head
234	heart
235	hearth, fireplace
236	heavy
237	here
238	hide
239	hold
240	honey 
241	horn
242	hornbill
243	hornet 
244	horse
245	horsefly 
246	house
247	how many
248	human being
249	human being prefix 
250	hungry (vi)
251	hunter
252	husband
253	ice
254	imperative
255	in
256	Indo-Aryan person
257	insect
258	intestines
259	iron
260	itch
261	jackal 
262	Jerigaon people 
263	jump
264	keep, remain
265	Khoitam people
266	kick (v)
267	kill
268	kiss (n)
269	knee
270	know
271	ladder
272	language
273	langur 
274	lap
275	late (vi)
276	laugh
277	leaf
278	leaf litter
279	leech, land
280	leech, water
281	left (side)
282	leg 
283	lick
284	lie (n)
285	lift completely, carry
286	light 
287	lightning
288	like, love
289	liquor
290	listen, heed
291	live, stay
292	liver
293	load (n)
294	locative
295	long
296	look
297	louse
298	lungs 
299	macaque 
300	machete
301	maize
302	make
303	male
304	man
305	manure
306	marrow 
307	marten 
308	meat, animal
309	medicine
310	meet
311	melt
312	middle / centre
313	Miji people
314	millet, broomcorn 
315	millet, finger  
316	millet, foxtail 
317	mithun 
318	Monpa 
319	moon, month 
320	morning
321	mortar (wood)
322	mother
323	mountain
324	mountain peak
325	mouse, rat
326	mouth
327	much
328	mud
329	mushroom
330	naga, serpent deity 
331	nail 
332	name
333	Namshu people
334	navel
335	neck
336	need to, have to
337	needle
338	negative prefix
339	nest, hive, womb
340	net for fishing
341	new
342	night
343	nine
344	nomen agentis
345	nominaliser 
346	noon 
347	nose
348	oil
349	okay 
350	old 
351	one
352	other 
353	other 
354	otter
355	outside
356	palm, sole1
357	palm, sole2
358	pangolin 
359	partridge 
360	path, road
361	patient marker
362	peas
363	penis
364	pheasant, kalij 
365	pheasant, tragopan 
366	pig
367	pillow
368	pinch
369	pine kindle
370	plait 
371	plant  (vt)
372	play
373	plough (v)
374	plural 
375	poison 
376	porcupine 
377	potato-bean 
378	pour 
379	present 
380	prohibitive prefix
381	pull1
382	pull2
383	pulse
384	pumpkin
385	Puroik
386	pus
387	push
388	put
389	quarrel (v)
390	question 
391	quiver
392	radish
393	Rahung, people of
394	rain (n)
395	rainbow
396	reap 
397	recognise
398	red
399	reflexive marker
400	rest (n)
401	rib
402	rice, husked
403	rice, unhusked, paddy 
404	ride, mount 
405	right 
406	ripe
407	roof
408	root
409	rope
410	rot (vi)
411	round, small object 
412	rub 
413	rub; sharpen
414	run
415	sago
416	saliva
417	salt
418	same, equal
419	sand
420	say
421	scratch1
422	scratch2
423	search
424	see
425	seed
426	serow 
427	settle 
428	seven
429	sew
430	shade
431	shake1 
432	shake2
433	sharp1 
434	sharp2
435	sheep
436	shelf 
437	Sherdukpen 
438	Shergaon, people of
439	shoe, footwear
440	shoot  
441	short 
442	shoulder 
443	shy, ashamed (vi)
444	sick (vi)
445	silver
446	sing
447	sister-in-law
448	sister, elder
449	sister, younger1 
450	sister, younger2 
451	sit
452	six
453	skin, bark
454	sky 
455	sleep
456	slowly
457	small1 
458	small2 
459	smell (n)
460	smell1 (vi)
461	smell2 (vi)
462	smoke
463	snake
464	snatch away
465	snow
466	soda ash
467	soft / smooth
468	soil, earth 
469	son
470	son-in-law
471	song1 
472	song2 
473	soup, liquid, broth, juice
474	sour
475	sow, broadcast1
476	sow, broadcast2
477	soybean 
478	sparrow
479	speak
480	spear
481	spicy, pungent
482	spider
483	spirit, soul, shadow 
484	spit
485	spittle, spit
486	split1 
487	split2 
488	squirrel 
489	squirrel, flying
490	stab
491	stand (up)
492	star
493	steal 
494	steam
495	stich
496	stick
497	stone
498	story
499	straight
500	stump (tree)
501	suck1
502	suck2
503	sugarcane
504	sun, day 
505	swallow
506	sweet
507	swell
508	tail 
509	take 
510	takin 
511	taro 
512	tasty
513	tear (vt)
514	tell
515	ten
516	that
517	that side
518	that side
519	Thembang people
520	thick
521	thief
522	thigh
523	thin
524	thing
525	think
526	thirsty (vi)
527	this
528	thorn
529	thousand
530	thread
531	three
532	throw
533	thunder (vi) 
534	tie (vt)
535	tiger
536	till (hoe)
537	tired (vi)
538	today
539	together with
540	tomorrow
541	tongue
542	tooth
543	trivet
544	trunk (tree)
545	tuber 
546	tusk
547	twenty
548	twist
549	two
550	under, below
551	up there1 
552	up there2 
553	up; ascend
554	uproot
555	urine
556	vagina
557	vegetable, leafy 
558	veranda
559	village 
560	vomit
561	waist
562	wait1
563	wait2
564	wake up
565	walk, move, go
566	walking stick
567	walnut
568	warm, hot (adj.)
569	warm, hot (vi)
570	wash1
571	wash2
572	water
573	wealthy
574	wear 
575	weave 
576	weed, grass
577	wet1
578	wet2
579	wheat
580	when
581	where
582	white
583	who
584	wife
585	wind
586	window
587	wing
588	wipe
589	woman
590	wood
591	wool
592	word
593	work
594	wring, squeeze
595	year
596	year, next
597	year, this
598	yellow
599	yesterday
