ID	FREQUENCY	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon	COGIDS	CONCEPTS
1	1	ɛˀ	ɛ	ɛː	ɛ	ɛ	ɛ	a	a	364:1	eight
1	11	ɛ	ɛ	ɛ	ɛ	a	ɛ	a	a	252:1, 351:1, 393:1, 434:1, 593:1, 607:1, 648:1, 749:1, 762:1, 947:1, 1179:1	cold / ear / fly (vi) / know / leech, land / look / nomen agentis / old / potato-bean / shy, ashamed (vi) / trivet
2	8	ɛ	ɛ	ɛ	ai	ɛ	ɛ	ɛ	ɛ	142:2, 168:2, 270:2, 286:2, 527:2, 649:2, 816:1, 1090:1	bite / cover (v) / horn / louse / play / pull / red / suck
3	5	ɛ	ɛ	ɛ	ɛ	ɛ	ɛ	a	a	82:1, 170:1, 321:1, 379:1, 421:1	arrive / break / dirty / exit / flee
4	4	ɛ	eˀ	ɛ	ɛˀ	eˀ	eˀ	eˀ	eˀ	622:1, 738:1, 1018:1, 1114:1	lie (n) / need to, have to / sow, broadcast / tear (vt)
5	4	ɛ	ɛ	ɛ	ɛ	a	a	a	a	152:1, 337:2, 483:1, 566:1	boar, wild / dream (n) / goral / ice
6	3	ɛ	ə	ɛ	i	a	Ø	ɛ	Ø	76:1, 302:2, 443:1	amaranth / deaf / forest
7	3	ɛ	ɛ	e	ɛ	ə	a	ə	a	50:2, 578:1, 946:1	Thembang people / jackal / shoulder
8	3	ɛ	ɛː	e	aː	ɛː	ɛː	aː	aː	183:1, 199:1, 952:1	brother-in-law / buy / sing
9	3	ɛ	ɛˀ	e	aː	ɛˀ	ɛˀ	aˀ	a	102:1, 415:1, 620:1	bamboo / fire / leg
10	2	ɛ	i	ɛ	i	ɛ	ɛ	i	i	292:1, 479:1	day before two days / gold
11	2	ɛ	a	i	a	a	a	ə	a	767:0, 808:1	other / pine kindle
12	2	ɛ	ɛ	e	ɛ	ɛ	ɔ	a	a	616:1, 714:2	left (side) / much
13	2	ɛ	ɛ̃ĩ	e	ɛ̃ː	ĩː	ĩː	ɛ̃ː	ɛ̃ː	599:1, 1014:1	lap / sour
14	2	ɛ	ɐʰ	i	ɐʰ	ɔʰ	ɔʰ	ɔ	ɔ	820:1, 908:1	porcupine / sand
15	2	ɛ	y	u	y	ə	ə	ə	ə	1214:1, 1259:1	walking stick / wing
16	1	ɛ	ɐ̃	a	ɐ̃	Ø	ɔ̃	ɔ̃	ɔ̃	378:1	excrete
17	1	ɛ	y	i	y	y	oː	y	Ø	1282:1	yesterday
18	1	ɛ	y	Ø	y	y	ə	Ø	Ø	1060:1	squirrel, flying
19	1	ɛ	ɛ	e	aː	ɛː	ɛː	aː	aː	602:1	laugh
20	1	ɛ	ɐːʰ	e	ɐːʰ	ɔːʰ	ɔːʰ	ɔːʰ	ɔː	1111:2	tasty
21	1	ɛ	Ø	e	ɐː	Ø	Ø	oː	oː	815:1	play
22	1	ɛ	ɛ	Ø	ɛ	ɛ	ɛ	a	ɛ	1126:1	thick
23	1	ɛ	ɛˀ	ɛ	ai	ɛ	ɛ	ɛ	ɛ	409:2	field
24	1	ɛ	u	a	u	u	u	u	u	598:1	langur
25	1	ɛ	ɛː	i	aː	ɛ̃ː	ɛˀ	aː	aː	933:1	sheep
26	1	ɛ	a	ɛ	a	a	a	a	a	582:1	kick (v)
27	1	ɛ	iː	u	iː	iː	iː	yː	Ø	382:1	face
28	1	ɛ	ɐ	a	ɐ	ɔ	ɔ	ɔ	ɔ	1076:1	stick
29	1	ɛ	ɛː	e	Ø	ɛ	ɛ	ɛ	ɛ	1166:1	together with
30	1	ɛ	ɐ	Ø	ɐ	ɔ	-	ɔ	a	265:2	cotton
31	1	ɛ	ə	e	a	ə	-	ə	i	1092:1	sugarcane
32	1	ɛ	Ø	ɛ	ə	ə	-	Ø	Ø	734:1	neck
33	1	ɛ	ɛ	i	u	ɛ	ɛ	ɛ	ɛ	939:2	shoot
34	1	ɛ	ɐ	e	ɐ	ɔ	ɔ	Ø	Ø	1034:1	spicy, pungent
35	1	ɛ	eː	Ø	eː	eː	Ø	eː	Ø	1162:1	tired (vi)
36	1	ɛ	ə	ɛ	ə	u	Ø	Ø	ə	755:1	nose
37	1	ɛ	a	ɛ	a	a	a	ə	ə	277:1	cucumber
38	1	ɛ	ɐ̃ː	e	ɐ̃ː	aː	ɔ̃ː	aː	aː	1187:1	twenty
39	1	ɛ	ɐ̃ː	ɛ	ɐ̃ː	a	ɔ̃ː	a	a	979:1	small
40	1	ɛ	Ø	u	Ø	-	-	-	-	515:1	hearth, fireplace
1	2	ɔː	-	ɔː	a	-	-	u	ɔ	520:1, 591:2	here / knee
2	2	ɔː	ɔː	u	ɔː	ɔː	oː	a	a	263:1, 331:1	corpse / door / forehead
3	1	ɔː	ɔː	a	ɔː	ɔː	oː	a	oː	1257:1	window
4	1	ɔː	ə	ɔː	ə	ə	ə	ə	ə	667:1	man
5	1	ɔː	-	a	ə	-	-	ə	-	219:1	chicken / dog / snake
6	1	ɔː	Ø	ɔː	Ø	Ø	oː	oː	Ø	1006:2	song
7	1	ɔː	a	Ø	a	a	Ø	a	a	1056:1	squirrel
1	1	ɔˀ	ɔ	ɔ	ɔ	ɔ	ɔ	ɔ	ɔ	55:1	ablative / that side
2	1	ɔˀ	Ø	ɔ	Ø	ɔ	ɔ	ɔ̃	Ø	67:0	agent
3	1	ɔˀ	ɔ	ɔ	ɔ	ɔː	oː	a	a	1146:1	thorn
1	38	ɔ	u	ɔ	u	u	u	u	u	12:1, 25:1, 75:1, 103:1, 106:1, 114:1, 139:1, 157:1, 239:1, 276:1, 278:1, 322:1, 324:1, 347:1, 358:1, 375:1, 399:1, 401:1, 403:1, 485:1, 531:1, 584:1, 625:1, 644:1, 657:1, 686:1, 733:1, 742:1, 746:1, 800:1, 829:2, 878:1, 949:1, 951:1, 970:1, 1021:1, 1064:1, 1285:2	2pl.excl / Bugun / Miji people / amaranth / bad / banana / barley / bear / bind (v) / cucumber / disease / egg / empty / fear (vi) / fence / gourd / head / hornbill / kick (v) / knee / light / load (n) / lungs / macaque / marten / middle / centre / neck / net for fishing / night / nose / pheasant, tragopan / pumpkin / quarrel (v) / ripe / short / sick (vi) / silver / skin, bark / soft / smooth / soybean / stab / year / year, this
2	20	ɔ	ɔ	ɔ	ɔ	ɔ	ɔ	ɔ	ɔ	71:1, 80:1, 125:1, 138:1, 242:1, 251:1, 258:1, 320:1, 373:1, 433:1, 447:1, 461:0, 491:0, 509:1, 741:1, 1058:2, 1085:2, 1149:1, 1161:1, 1204:1	all / ant / beer filter / big / clitoris / comparative degree / dig / elephant / fly (n) / friend / green / hatch / nest, hive, womb / scratch / squirrel / stump (tree) / that side / thousand / till (hoe) / vomit
3	4	ɔ	a	ɔ	a	a	a	a	a	137:0, 384:1, 658:1, 992:1	big / brother, younger / cold / falcon / fat (n) / good / machete / middle / centre / old / snatch away / soup, liquid, broth, juice / tasty / thick
4	4	ɔ	ɔː	u	ɔː	oː	oː	oː	oː	361:1, 396:1, 469:1, 759:1	eggplant / fat (n) / garden / oil
5	4	ɔ	ɔ	ɔ	ɔ	ɔ	o	a	a	154:1, 215:1, 1063:2, 1211:1	boil  (water) / chest / squirrel, flying / wake up
6	4	ɔ	ɛːʰ	u	aː	ɛːʰ	ɛːʰ	aː	aː	162:1, 424:1, 572:1, 1102:1	borrow / flour / intestines / tail
7	3	ɔ	ɛ	ɔ	ə	i	i	i	i	19:1, 290:1, 1194:1	Jerigaon people / day after two days / uproot
8	3	ɔ	øˀ	ɔ	øˀ	eˀ	øˀ	øˀ	eˀ	279:1, 1046:1, 1048:1	curcuma sp. / spit / throw
9	3	ɔ	aː	u	aː	aː	ə	aː	aː	7:1, 334:1, 355:1	3sg / dragon, thunder, lightning / earthworm / lightning
10	2	ɔ	yː	ɔ	y	yː	yː	yː	iː	673:1, 1089:1	marrow / suck
11	2	ɔ	ɛːʰ	u	aː	ɛːʰ	ɛːʰ	aːʰ	aː	147:1, 1281:1	blood / yellow
12	2	ɔ	ɔː	a	ɔː	oː	oː	oː	oː	90:1, 1009:1	attic / soup, liquid, broth, juice / water
13	2	ɔ	ə	ɔ	a	ə	ə	ə	ə	359:1, 613:0	mouth / red
14	2	ɔ	ə	ɔ	y	ɔ	ɔ	ɔ̃ː	ɔ	89:1, 543:1	associative / star / trivet
15	1	ɔ	o	ɔ	-	Ø	Ø	o	o	298:1	day before yesterday
16	1	ɔ	ɛː	u	aː	ɛː	ɛː	aː	aː	1171:1	tongue
17	1	ɔ	ɔ	ɔ	Ø	Ø	Ø	y	ɔ	577:1	jackal
18	1	ɔ	a	ɔ	ɔ	a	ɔ	ɔ	ɔ	474:0	go
19	1	ɔ	eˀ	Ø	Ø	eˀ	eˀ	eˀ	Ø	601:1	late (vi)
20	1	ɔ	ɛˀ	Ø	aˀ	a	a	a	a	481:1	good
21	1	ɔ	u	u	u	u	u	u	u	203:1	cap, hat
22	1	ɔ	øː	ɔ	u	øː	øː	u	ɔ	781:1	partridge
23	1	ɔ	Ø	Ø	a	u	o	ə	Ø	214:1	chest
24	1	ɔ	u	ɔ	ɔ	yː	ɔ	ɔ	ɔ	645:1	locative / together with
25	1	ɔ	u	ɔ	ũː	u	u	u	u	1151:0	three
26	1	ɔ	-	ɔ	Ø	-	-	-	-	511:1	head
27	1	ɔ	o	ɔ	ɔ	ɔ	ɔ	o	o	297:1	day before yesterday
28	1	ɔ	Ø	ɔ	ɛ	i	Ø	i	Ø	664:1	make
29	1	ɔ	ɔ̃ː	ɔ	ɔ̃ː	ũː	Ø	ũː	ɔ̃ː	1199:1	veranda
30	1	ɔ	ɛ	Ø	ə	u	u	i	y	287:1	day after tomorrow
31	1	ɔ	ɛ	a	ɛ	a	ɛ	a	a	743:1	new
32	1	ɔ	Ø	Ø	øː	ĩː	yː	ø	Ø	635:1	like, love
33	1	ɔ	øː	ɔ	øː	ĩː	ɛ	øː	eː	1104:1	take
34	1	ɔ	Ø	ɔ	ɐ̃ː	Ø	ɔ	ɔ̃ː	ɔ̃ː	30:1	Monpa
35	1	ɔ	ɐʰ	Ø	ɐʰ	ɔʰ	ɔʰ	ɔʰ	ɔʰ	839:1	put
36	1	ɔ	-	ɔ	ə	-	a	ə	-	202:1	cap, hat
37	1	ɔ	øː	ɔ	øː	ĩː	yː	eː	eː	1222:1	wash
38	1	ɔ	ɔ	Ø	ɔː	ɔ	ɔ	ɔ	ɔ	542:1	horsefly / spear
39	1	ɔ	ə	ɔ	a	a	a	a	u	744:0	new
40	1	ɔ	Ø	u	ɐː	ɔː	ɔː	oː	Ø	817:1	plough (v)
41	1	ɔ	y	a	y	y	Ø	y	i	261:1	copula, negative
42	1	ɔ	Ø	ɔ	y	ɔ̃ː	ɔ̃ː	ɔ	Ø	864:1	rest (n)
43	1	ɔ	øː	ɔ	øː	ĩː	yː	øː	oː	173:1	bridge
44	1	ɔ	-	ɔ	-	-	-	-	u	729:1	navel
45	1	ɔ	Ø	ɔ	ɛː	ɔː	oː	a	Ø	579:1	jump
46	1	ɔ	y	ɔ	y	Ø	u	u	u	259:1	cook
47	1	ɔ	uː	ɔ	Ø	uː	uː	uː	uː	181:1	brother, younger
48	1	ɔ	ɔ	Ø	ɔ	ɔ	ɔ	k	ɔ	392:2	fast
1	2	Ø	a	Ø	ə	a	a	a	Ø	27:1, 110:1	bat / boil (n)
2	2	Ø	ə	a	ə	Ø	u	ə	u	11:1, 41:1	Bugun / Rahung, people of
3	2	Ø	øː	Ø	aː	ĩː	yː	ɔː	aː	912:1, 1120:1	scratch / that side
4	2	Ø	ɔ	i	u	u	u	u	u	228:1, 249:1	chin / cockroach
5	2	Ø	iː	Ø	aː	iː	iː	i	i	169:2, 987:1	knee / smell2 (vi)
6	2	Ø	u	Ø	ə	-	ə	ə	ə	617:1, 786:1	partridge / pheasant, kalij
7	2	Ø	ɔ	a	ɔ	ɔ	u	u	o	65:1, 1268:1	split / word
8	2	Ø	ɔ̃ː	a	ɔ̃ː	ɔ̃ː	ɔ̃ː	ɔ̃ː	Ø	274:1, 1062:1	crow / squirrel, flying
9	1	Ø	y	Ø	a	u	ə	u	Ø	608:1	leech, land
10	1	Ø	Ø	Ø	ø	Ø	ø	øˀ	eˀ	43:1	Sherdukpen
11	1	Ø	i	Ø	y	i	Ø	y	Ø	499:1	hail
12	1	Ø	Ø	Ø	ɔː	yː	yː	Ø	Ø	150:1	blow (wind)
13	1	Ø	Ø	Ø	Ø	ĩ	ĩ	ə	i	586:1	trivet
14	1	Ø	Ø	Ø	Ø	ɛˀ	ɛˀ	u	u	177:1	brother (elder)
15	1	Ø	ɛ̃ĩ	Ø	ĩː	ĩː	Ø	Ø	Ø	651:1	lungs
16	1	Ø	-	Ø	-	y	y	ə	i	247:1	cloud, mist, fog
17	1	Ø	ə	Ø	ə	ə	u	ə	ə	652:1	lungs
18	1	Ø	uː	a	u	u	u	u	u	981:1	small / tasty
19	1	Ø	ɛ	Ø	ə	i	i	iː	Ø	452:1	frog
20	1	Ø	ə	Ø	a	y	i	y	Ø	498:1	hail
21	1	Ø	Ø	Ø	eˀ	iˀ	iˀ	eˀ	Ø	1186:1	tusk
22	1	Ø	y	Ø	a	y	y	a	a	64:1	afternoon
23	1	Ø	eˀ	Ø	ɛˀ	eˀ	ɛˀ	Ø	Ø	1232:1	wet
24	1	Ø	eː	Ø	eː	eː	Ø	yː	eː	192:1	buffalo
25	1	Ø	ə	Ø	ə	-	i	ə	ə	432:1	fly (n)
26	1	Ø	Ø	Ø	øː	ɛːʰ	ɛːʰ	Ø	Ø	778:1	pangolin
27	1	Ø	a	Ø	Ø	ə	a	ə	Ø	156:1	knee
28	1	Ø	i	i	ɔ	ɔ	ɔ	i	Ø	48:1	Shergaon, people of / afternoon
29	1	Ø	yː	Ø	yː	i	i	i	i	367:1	elbow
30	1	Ø	y	Ø	y	y	i	ə	ə	77:1	angry (vi)
31	1	Ø	a	i	a	a	ɔ̃	ɔ̃	Ø	352:2	earthworm
32	1	Ø	Ø	Ø	Ø	ɛˀ	ɛˀ	aˀ	aˀ	148:1	kick (v)
33	1	Ø	ɛ̃ː	ɛ	ɛ̃ː	Ø	ɛ̃ː	ɛ̃ː	Ø	47:1	Shergaon, people of
34	1	Ø	iː	Ø	iː	yː	yː	yː	uː	1117:1	that
35	1	Ø	ɔː	Ø	ɔ̃ː	Ø	ə	a	a	330:1	dog, wild
36	1	Ø	aː	Ø	aː	ɛː	ə	aː	aː	1143:2	this
37	1	Ø	u	a	u	uˀ	u	u	u	233:1	civet or spotted wild cat / finger
38	1	Ø	a	Ø	a	a	u	a	ɔ	770:0	outside
39	1	Ø	ɛˀ	Ø	ɛˀ	a	eˀ	eˀ	e	440:1	forest
40	1	Ø	i	u	i	Ø	Ø	y	u	40:1	Rahung, people of
41	1	Ø	y	Ø	y	i	i	y	Ø	588:1	knee
42	1	Ø	i	Ø	a	a	ə	ə	Ø	160:0	bone / root
43	1	Ø	u	Ø	u	u	u	-	-	372:1	elephant
44	1	Ø	Ø	-	ɛ	Ø	ɛ	Ø	-	548:1	how many
45	1	Ø	u	Ø	a	u	ə	ə	ə	438:1	forehead
46	1	Ø	ɛːʰ	a	aː	ɛːʰ	ɛːʰ	aː	aː	564:1	husband
47	1	Ø	ə	Ø	ə	ə	ə	-	ə	513:1	heart
48	1	Ø	a	Ø	a	a	a	-	-	805:1	pillow
49	1	Ø	uː	u	uː	uː	uː	u	Ø	175:1	bring
50	1	Ø	i	Ø	Ø	i	y	ĩː	ĩː	49:1	fall
51	1	Ø	ə	a	ɐ̃ː	ɔ̃ː	ɔ̃ː	ɔ̃ː	ɔ̃ː	210:1	charcoal
52	1	Ø	a	i	a	ɛ	ɛ	a	Ø	113:2	beans
53	1	Ø	ə	Ø	ə	y	-	ə	ə	1169:1	tomorrow
54	1	Ø	u	Ø	u	u	u	ũ	u	853:1	rainbow
55	1	Ø	ɛ	Ø	i	a	a	Ø	Ø	374:1	elephant
56	1	Ø	ɛ̃ĩ	Ø	ɛ̃ĩ	ĩˀ	ĩˀ	ɛ̃ˀː	ɛ̃ː	574:1	iron
57	1	Ø	y	Ø	y	i	i	i	i	78:1	angry (vi)
58	1	Ø	e	Ø	ɛ	e	e	e	e	612:1	left (side)
59	1	Ø	ɔ̃	Ø	ɔː	Ø	ə	Ø	Ø	44:1	Sherdukpen
60	1	Ø	ɛ̃ĩ	i	ɛ̃ː	ĩː	ĩː	ɛ̃ː	ɛ̃ː	640:2	liver
61	1	Ø	y	i	y	ə	a	Ø	Ø	225:1	chin
62	1	Ø	ɛ̃ː	ɔ	aː	ɛ̃ˀ	ɛˀ	aˀ	aː	437:1	food
63	1	Ø	-	Ø	ə	-	-	ə	ə	689:1	millet, finger
64	1	Ø	Ø	Ø	u	ũː	ũ	Ø	Ø	528:1	hornbill
65	1	Ø	ɛ̃ĩː	i	Ø	ĩː	ĩː	ɛ̃ː	ɛ	868:1	rib
66	1	Ø	aː	Ø	Ø	ɛː	ɛː	Ø	Ø	422:1	float
67	1	Ø	ø	Ø	Ø	ĩ	yː	eː	eː	1038:2	spider
68	1	Ø	a	ɛ	ə	a	ə	a	a	211:1	charcoal
69	1	Ø	y	Ø	ə	y	y	ə	u	768:1	otter
70	1	Ø	Ø	Ø	ə	-	i	-	Ø	460:1	frying pan
71	1	Ø	-	u	ə	Ø	Ø	ə	a	21:1	Khoitam people
1	1	y	yː	u	yː	yː	yː	yː	iː	1005:1	son-in-law
1	1	uˀ	ɔ	u	Ø	ɔː	oː	a	a	478:1	goitre
1	28	u	yː	u	yː	yː	yː	yː	iː	22:1, 117:1, 129:1, 164:1, 204:1, 205:1, 262:1, 268:1, 272:1, 284:1, 318:1, 381:1, 408:1, 429:1, 453:1, 482:1, 493:1, 570:1, 583:1, 683:1, 721:1, 827:1, 953:1, 994:1, 1087:1, 1095:1, 1097:1, 1262:0	brain / carry / cat / copula, negative / cough (vi) / creeper, vine / daughter / deep / descend / eye / frog / grind, pound / honey / insect / kick (v) / leech, water / meet / melt / mushroom / naga, serpent deity / pulse / shoulder / sister, elder / sky / snow / sour / stump (tree) / sun, day / swallow / thunder (vi) / wipe / woman
2	24	u	y	u	y	y	y	y	u	61:1, 151:1, 172:1, 283:1, 313:1, 341:0, 349:1, 383:1, 428:1, 819:1, 823:1, 895:1, 898:1, 944:1, 965:1, 967:1, 1066:1, 1067:1, 1077:1, 1155:1, 1203:1, 1205:1, 1215:1, 1256:1	after / breath / deer, sambar / dry (adj.) / ear / face / flow / in / poison / pour / rub / sago / sit / six / star / stone / thunder (vi) / tooth / trunk (tree) / up; ascend / village / waist / walking stick / window
3	9	u	ə	u	ə	ə	ə	ə	ə	16:1, 223:1, 234:1, 316:1, 411:1, 503:1, 547:1, 1208:1, 1263:1	Indo-Aryan person / civet or spotted wild cat / deity, ghost / flour / hair (head) / hornet / how many / waist / woman
4	7	u	u	u	u	u	u	u	u	250:1, 256:0, 523:0, 833:2, 1043:1, 1225:1, 1277:1	cockroach / come / hide / pumpkin / spirit, soul, shadow / wealthy / year, this
5	6	u	i	u	i	i	i	i	i	149:1, 189:1, 410:1, 500:1, 553:1, 1017:1	blow / buckwheat, sweet / finger / hair (body): feather / hand, arm / human being / nail / sow, broadcast
6	6	u	ø	u	ø	ɔ	ø	ɔ	ɔ	236:1, 468:1, 524:1, 702:1, 1107:1, 1253:1	civet, palm / garden / hold / mortar (wood) / takin / wind
7	5	u	ɔː	u	ɔː	ɔː	oː	a	a	639:1, 913:1, 1068:1, 1127:2, 1240:1	live, stay / search / steal / thief / where
8	3	u	yː	u	yː	yː	yː	yː	yː	182:1, 308:1, 747:1	nine / push / smoke
9	3	u	a	u	a	a	a	a	a	56:0, 416:1, 1196:1	above, top / all / bad / beautiful / bitter (vi) / black / brain / branch / clean / daughter-in-law / deep / dirty / empty / far / fast / female / few, little / fire prefix / forest / full / gall, bile / grandfather / hair (body): feather / hard / heavy / husband / in / intestines / leaf / light / liver / long / male / marrow / meat, animal / much / name / pus / rest (n) / right / ripe / round, small object / same, equal / seed / sharp / short / slowly / small / smoke / soft / smooth / son / straight / sweet / tail / thin / vagina / warm, hot (adj.) / wet / white / wife
10	3	u	ɔː	a	Ø	ə	ə	ə	y	348:1, 698:1, 712:1	eagle, buzzard / morning / mouth
11	2	u	o	u	ɔː	-	oː	yː	Ø	31:1, 353:1	Namshu people / earthworm
12	2	u	øː	a	øː	ĩː	yː	øː	ɛ̃ː	476:1, 1040:1	goat / spider
13	2	u	-	u	ə	i	a	ə	ə	97:1, 188:1	back (wards) / buckwheat, sweet
14	2	u	uː	u	uː	ũ	ũ	ũ	ɔ	229:1, 1008:1	chin / song
15	2	u	Ø	u	ĩː	yː	yː	ɛː	Ø	766:1, 899:1	other / saliva
16	2	u	a	u	a	y	u	ə	ə	779:1, 788:1	pangolin / path, road
17	2	u	-	u	a	-	-	ə	ə	350:1, 477:1	ear / goitre
18	2	u	yː	u	yː	yː	yː	yː	i	634:1, 1177:1	lightning / trivet
19	2	u	ɔ	u	yː	u	u	u	Ø	521:1, 587:1	here / kiss (n)
20	1	u	iː	u	iː	iː	iː	yː	iː	1091:1	sugarcane
21	1	u	Ø	Ø	yː	yː	Ø	øː	Ø	534:1	hornet
22	1	u	ɐ̃ː	u	ɐ̃ː	ɔ̃ː	ɔ̃ː	ɔ̃ː	ɔ̃ː	876:1	right
23	1	u	ɔ̃ː	u	ũː	ũː	ũː	ũː	ɔ̃ː	1159:1	tiger
