NUMBER	COGNATESET	CONCEPT	MORPHEME	PROTOFORM	SCORE
1	1	1sg	1sg	1.00	⁴g ³⁰a
1	2	2pl.excl	_excl1	0.00	⁰? ⁰?
1	3	2pl.incl	_excl1	0.00	⁰?
1	4	2pl.incl	_incl1	0.67	³¹tʰ ⁰? ³k
1	5	2pl.excl	2pl	0.00	⁰? ⁰?
1	6	2sg	2sg	0.67	⁰? ⁶⁹a ⁸²ŋ
1	7	3sg	3sg	0.67	⁰? ³o ³⁵j
1	11	Bugun	bugun	0.00	⁰? ⁰?
1	12	Bugun	bugun	1.00	⁵hl|³⁶l ¹⁴a|⁴⁵u ⁶m|⁸²ŋ
1	13	Indo-Aryan person	indoaryanperson	1.00	¹³tɕʰ ³⁰a
1	14	Indo-Aryan person	indoaryanperson	1.00	³kʰj|³tsʰ ²⁸a
1	15	human being prefix	human-prefix	0.50	⁰? ³²I
1	16	Indo-Aryan person	indoaryanperson	0.50	⁰? ¹²a
1	17	Jerigaon people	jerigaonpeople	0.50	⁰? ³I
1	18	Thembang people	ji-suffix1	0.00	⁰? ⁰?
1	19	Jerigaon people	jerigaonpeople	1.00	²⁵d ³o
1	21	Khoitam people	khoitampeople	0.33	⁰? ⁰? ¹¹s
1	22	mushroom	?	0.50	⁰? ²⁸u
1	23	Khoitam people	khoitampeople	1.00	¹⁸t ⁶⁹a ¹⁰m
1	24	Miji people	mijipeople	0.50	⁰? ⁶a
1	25	Miji people	?	1.00	³⁶kʰ ¹⁴a|⁴⁵u
1	27	boil (n)	boiln	0.33	⁰? ⁰? ⁴ŋ
1	28	boil (n)	pa-suffix1	0.50	⁷p ⁰?
1	29	Monpa	monpa	0.50	³brj|⁸dʑ ⁰?
1	30	Monpa	monpa	0.00	⁰? ⁰? ⁰?
1	31	Namshu people	namshupeople	0.00	⁰? ⁰?
1	32	leech, land	pa-suffix2	0.00	⁰? ⁰?
1	33	Namshu people	sky-prefix1	0.33	⁰? ⁰? ¹⁸m
1	35	Puroik	puroik	1.00	¹⁸t ⁷²a ⁸²ŋ
1	37	five	?	1.00	³⁶kʰ ³⁰a
1	38	Puroik	puroik	0.00	⁰?
1	39	saliva	?	1.00	³⁶kʰ ¹⁸⁸a
1	40	Rahung, people of	rahungpeopleof	0.67	²³pʰ ⁰? ⁸²ŋ
1	41	Rahung, people of	rahungpeopleof	0.00	⁰? ⁰?
1	43	Sherdukpen	sherdukpen	0.00	⁰? ⁰?
1	44	Sherdukpen	sherdukpen	0.33	³¹tʰ ⁰? ⁰?
1	45	shake	?	1.00	³⁶kʰ ³⁰a
1	46	eye	eye	1.00	³m ³a
1	47	Shergaon, people of	shergaonpeopleof	0.33	⁰? ⁰? ¹⁰r
1	48	Shergaon, people of	shergaonpeopleof	0.00	⁰? ⁰?
1	49	fall	fall	0.33	⁶hj|¹⁶h ⁰? ⁰?
1	50	Thembang people	thembangpeople	0.50	³¹tʰ ⁰? ³a ⁰?
1	51	Thembang people	thembangpeople	0.67	⁰? ⁷²a ⁸²ŋ
1	52	under, below	?	1.00	³⁶kʰ ³⁰a
1	55	ablative	_ablative	1.00	³⁶l ²⁰o
1	56	bad	_u/a-prefix	0.50	⁰? ³a
1	57	finger	finger	0.67	⁰? ⁸a ⁵ŋ
1	58	above, top	abovetop	0.67	⁰? ⁶a ¹³ŋ
1	59	achieve, obtain	achieveobtain	0.67	⁰? ¹¹a ¹⁷n
1	60	aconite	aconite	0.50	¹⁸s ⁰?
1	61	after	up	1.00	³⁶kʰ ²⁴u ⁸²ŋ
1	62	after	_la-prefix1	0.50	³⁶l ⁰?
1	64	afternoon	_sky-prefix6	0.33	⁰? ⁰? ¹⁹w
1	65	split	?	0.00	⁰? ⁰?
1	66	afternoon	_allative	0.67	¹⁸t ⁰? ¹⁴m|²⁴n
1	67	agent	_ergative	0.00	⁰?
1	68	alive, healthy	_u/o/a-prefix	1.00	⁴o
1	69	alive, healthy	alivehealthy	0.67	⁰? ⁹²a ⁸⁹ŋ
1	71	all	all	1.00	³¹tʰ ²⁰o ¹⁴m
1	72	walnut	?	1.00	³⁶kʰ ³⁰a
1	74	allative	_allative	0.67	¹⁸t ⁴a ⁰?
1	75	marten	?	0.67	⁰? ³⁸u ⁸²ŋ
1	76	amaranth	_ma-prefix4	1.00	³m ³a ¹⁵s
1	77	angry (vi)	angryvi	0.00	⁰? ⁰? ⁰?
1	78	angry (vi)	stone1	0.33	³⁶l ⁰? ⁰?
1	79	word	?	0.67	⁰? ³²I ¹¹⁶k
1	80	ant	ant	0.67	⁰? ²⁰o ¹¹⁶k
1	81	year, next	?	0.33	⁰? ⁶⁹a ⁰?
1	82	arrive	arrive	1.00	²³pʰ ⁵a ⁴t
1	83	arrow	arrow	0.67	⁰? ³²I ¹¹⁶k
1	85	ascend	ascend	1.00	⁸dʑ ⁶⁹a ⁸²ŋ
1	86	ash	ash	0.67	⁰? ⁶r ⁶a
1	87	ash	_cha-prefix1	0.00	⁰? ⁰?
1	88	ask	ask	0.67	⁰? ³²I ¹¹⁶k
1	89	associative	_associative	0.67	³¹tʰ ⁰? ⁸²ŋ
1	90	attic	attic	0.33	⁰? ⁰? ³k
1	92	axe	axe	0.33	²³pʰ ⁰? ⁰?
1	94	back (n)	backn	0.00	⁰? ⁰? ⁰?
1	95	back (n)	_sky-prefix6	0.50	⁰? ⁴o|⁷⁵a
1	96	back (wards)	backwards	1.00	³⁶kʰ ⁵I ⁴s
1	97	back (wards)	_la-prefix2	0.50	⁵hl|³⁶l ⁰?
1	99	this	?	1.00	⁸dʑ ⁶u|³²I
1	100	bad	bad1	0.67	⁰? ¹¹a ¹⁷n
1	101	fish	?	0.50	⁰? ⁸a
1	102	bamboo	bamboo	0.67	⁰? ³a ³⁵j
1	103	banana	banana	1.00	¹⁸s ¹⁴a|⁴⁵u ⁶m|⁸²ŋ
1	104	banana	_ma-prefix2	1.00	³m ³a
1	105	friend	friend	0.50	⁰? ¹⁴a
1	106	barley	barley	1.00	²³pʰ ³⁸u ¹¹⁶k
1	107	bastard	bastard	0.33	⁰? ⁶r ⁰?
1	108	bastard	_da-prefix2	0.67	²⁵d ⁰? ⁵w
1	109	bat	bat2	0.00	⁰? ⁰? ⁰? ⁰?
1	110	bat	fly1	0.00	⁰? ⁰? ⁰?
1	111	bat	bat1	0.67	⁰? ⁹²a ⁴ŋ
1	112	peas	peas	0.33	²³pʰ ⁰? ⁰?
1	113	beans	beans2	0.25	⁰? ⁰? ⁰? ¹⁷n
1	114	bear	bear	0.67	⁰? ³⁸u ⁶m
1	115	bear	_sa-prefix3	0.50	⁰? ⁴a
1	116	beat, hit	beathit	0.67	⁰? ²⁰a ¹¹⁶k
1	117	cat	?	1.00	³²b ²⁸u
1	118	beautiful	beautiful	1.00	³⁶l ⁵I ⁴s
1	120	slowly	da-suffix1	0.50	⁰? ⁸a
1	121	bee	bee	0.33	⁰? ⁰? ⁴m
1	122	bee	bee	0.67	³⁶kʰ ⁰? ¹¹s
1	123	bee	bee	1.00	¹³tɕʰ ³a ⁵ŋ
1	124	bee	a-prefix	1.00	⁶⁹a
1	125	beer filter	beerfilter	1.00	³¹tʰ ²⁰o ¹¹⁶k
1	126	beer strainer	beerstrainer	0.00	⁰? ⁰?
1	127	beer strainer	beerstrainer	1.00	³⁶kʰ ⁶⁹a ¹¹s
1	128	behind	behind	0.67	³⁶kʰ ⁰? ¹⁷n
1	129	eye	?	1.00	³²b ³¹u
1	131	belly, abdomen	bellyabdomen	0.67	⁰? ³I ³ŋ
1	132	belly, abdomen	sa-prefix1	0.50	⁰? ³a
1	134	belt	ma-prefix3	1.00	³⁶kʰ ²⁰a ¹¹⁶k
1	135	daughter	?	0.50	²⁵d ⁰?
1	136	belt	ma-prefix1	0.50	⁰? ⁹a
1	137	big	o/a-prefix	1.00	⁴o
1	138	big	?	1.00	²⁵d ²⁰o ¹¹⁶k
1	139	bind (v)	bindv	0.67	⁰? ³⁸u ⁸²ŋ
1	140	bird	pa-prefix2	0.50	⁰? ³⁰a
1	142	bite	bite	0.75	⁴z ⁰? ⁸a ¹¹⁶k
1	143	bitter (vi)	bittervi	0.67	⁰? ²⁰a ¹¹⁶k
1	144	same, equal	?	0.50	⁰? ⁸a
1	145	black	black	0.67	⁰? ⁸a ¹⁸m
1	146	cave	?	0.33	⁰? ⁰? ³p
1	147	blood	blood	0.33	⁰? ⁰? ³⁵j
1	148	kick (v)	kickv	1.00	⁸dr|²⁷r ³a
1	149	blow	blow	0.33	⁰? ⁶u ⁰?
1	150	blow (wind)	blowwind	0.50	⁰? ³⁴u
1	151	in	?	1.00	³⁶l ²⁴u ⁶m|⁸²ŋ
1	152	boar, wild	boarwild	0.67	⁰? ⁴a ²⁴n
1	153	boar, wild	boarwild	0.50	⁰? ⁴a
1	154	boil  (water)	boilwater	0.67	⁰? ⁴o ³w
1	155	boil (n)	boiln	0.75	³⁶kʰ ⁰? ⁷²a ⁸²ŋ
1	156	knee	knee	0.50	³⁶l ⁰?
1	157	kick (v)	?	1.00	¹⁸t ³⁸u ⁶m
1	158	bone	bone	0.67	⁰? ⁶u ³t
1	159	bone	sa-prefix5	0.50	³sj ⁰?
1	160	bone	a/ə/i-prefix	0.00	⁰?
1	161	borrow	borrow	0.50	⁰? ¹⁴I
1	162	borrow	borrow	1.00	³⁶l ⁴u ³⁵j
1	163	bow	bow	1.00	⁴r ³²I
1	164	brain	brain	0.50	⁰? ²⁸u
1	165	left (side)	?	1.00	⁴r|³⁶l ¹⁸⁸a ¹¹⁶k
1	166	lick	?	1.00	³⁶l ²⁰a ¹¹⁶k
1	167	shelf	branch	1.00	²³pʰ ⁶⁹a ⁸²ŋ
1	168	louse	?	0.50	⁰? ⁰? ⁸a ¹¹⁶k
1	169	knee	knee	0.33	⁰? ⁴r ⁰?
1	170	break	break	0.33	⁰? ⁵a ⁰?
1	171	breast, milk	breastmilk	0.33	⁰? ⁰? ⁸²ŋ
1	172	breath	breath	1.00	³²b ²⁴u ¹¹⁶k
1	173	bridge	bridge	0.67	³¹tʰ ⁰? ¹⁷n
1	174	bridge, hanging	bridgehanging	1.00	³⁷sj ⁶a ¹⁸m
1	175	bring	bring	0.67	¹³tɕʰ ⁰? ¹⁷n
1	176	mountain	?	1.00	³⁶l ³⁰a
1	177	brother (elder)	brotherelder	0.50	³pl|³²b ⁰?
1	178	brother (elder)	brotherelder	1.00	²¹j ³a
1	179	brother (elder)	brotherelder	1.00	²⁵d ⁶a
1	181	brother, younger	brotheryounger	0.33	⁰? ⁰? ⁵w
1	182	smoke	?	1.00	³⁶kʰ ³u
1	183	brother-in-law	brotherinlaw	0.67	⁰? ³a ³⁵j
1	184	light	?	1.00	²¹j ¹⁸⁸a ¹⁰²ŋ
1	185	buckwheat, bitter	buckwheatbitter	0.00	⁰? ⁰?
1	186	buckwheat, bitter	buckwheatbitter	0.50	⁰? ¹⁰a
1	188	buckwheat, sweet	buckwheatsweet	0.00	⁰? ⁰? ⁰?
1	189	buckwheat, sweet	buckwheatsweet	0.67	⁰? ⁶u ⁴n
1	191	goral	sa-prefix4	0.00	⁰? ⁰?
1	192	buffalo	buffalo	0.00	⁰? ⁰?
1	193	burn (vi)	burnvi	0.67	⁶hj ⁰? ³⁵j
1	194	veranda	?	1.00	²¹j ¹⁸⁸a ¹⁰²ŋ
1	195	burn, roast (vt)	burnroastvt	0.50	⁰? ¹⁴I
1	196	butter	butter	0.67	⁰? ¹¹a ¹⁰r
1	197	butterfly	butterfly	0.25	⁰? ⁰? ⁰? ⁴ŋ
1	198	butterfly	butterfly	0.67	⁰? ⁴o|⁷²a ¹⁰m
1	199	buy	buy	0.67	⁰? ³a ³⁵j
1	200	call for	callfor	0.33	³⁶kʰ ⁰? ⁰?
1	201	cane	cane	0.50	⁰? ³²I
1	202	cap, hat	caphat	0.00	⁰? ⁰? ⁰?
1	203	cap, hat	?	1.00	³¹tʰ ³⁸u ⁸²ŋ
1	204	carry	?	1.00	³²b ²⁸u
1	205	grind, pound	?	0.50	⁰? ³¹u
1	206	cat	cat	0.33	⁰? ⁶⁹a ⁰?
1	207	cattle, cow	cattlecow	0.50	⁰? ⁴a
1	208	cattle, cow	cattlecow	0.50	⁰? ³⁰a
1	209	cry	?	0.33	⁰? ⁰? ³p
1	210	charcoal	charcoal	1.00	³⁶kʰ ¹¹a ¹⁷n
1	211	charcoal	charcoal	0.33	⁰? ⁰? ⁹ŋ
1	212	leech, land	leechland	1.00	⁷p ⁹⁶a ⁴t
1	214	chest	chest	0.00	⁰? ⁰? ⁰?
1	215	chest	chest	0.67	⁰? ⁴o ¹⁹w
1	216	leech, water	leechwater	1.00	²³pʰ
1	217	chew	?	0.00	⁰? ⁰?
1	218	chicken	?	0.50	⁰? ⁸I
1	219	chicken	pa-prefix1	0.00	⁰? ⁰?
1	221	child	child	0.50	⁰? ²⁸u
1	222	trunk (tree)	?	1.00	³⁶l ¹⁰a
1	223	flour	?	0.50	⁰? ¹²a
1	224	chili	chili	0.33	⁰? ⁰? ⁴ŋ
1	225	chin	chin	0.33	⁰? ⁰? ¹⁷n
1	228	chin	chin	0.00	⁰? ⁰?
1	229	chin	chin	0.33	⁰? ⁰? ¹⁰r
1	230	lightning	lightning	0.50	⁰? ³a|⁸I
1	232	civet or spotted wild cat	civetorspottedwildcat	0.67	⁰? ⁴o|⁷²a ⁶m|⁸²ŋ
1	233	civet or spotted wild cat	small	0.50	⁰? ¹⁴a
1	234	civet or spotted wild cat	civetorspottedwildcat	1.00	⁴g ¹²a
1	235	heart	stone	1.00	³⁶l ²⁴u ⁸²ŋ
1	236	civet, palm	civetpalm	1.00	⁵nj|¹⁴ŋ ⁶o ¹⁴m
1	237	civet, palm	civetpalm	1.00	¹⁸s|³⁷sj ³a
1	238	clean	clean	0.33	⁰? ⁷²a ⁰?
1	239	bad	bad2	0.50	⁰? ¹⁴a|⁴⁵u
1	240	cliff, ravine	cliffravine	0.67	⁰? ²⁰a ¹¹⁶k
1	241	clitoris	clitoris	0.50	⁰? ⁵I
1	242	clitoris	clitoris	0.67	⁰? ²⁶o ¹⁰p
1	244	clothing	clothing	0.67	⁰? ⁴a ⁷t
1	246	cloud, mist, fog	cloudmistfog	1.00	¹⁸t ³u
1	247	cloud, mist, fog	cloudmistfog	0.00	⁰? ⁰? ⁰?
1	249	cockroach	cockroach	1.00	¹³tɕʰ ³⁸u ³k
1	250	cockroach	cockroach	0.67	⁰? ⁷u ⁸⁹ŋ
1	251	scratch	?	1.00	²⁵d ²⁰o ¹¹⁶k
1	252	cold	cold	0.67	⁰? ¹¹a ²⁴n
1	253	cold (vi)	coldvi	0.33	⁰? ⁰? ¹⁴m
1	255	comb	comb	0.67	⁰? ⁴a ¹¹s
1	256	come	come	0.50	⁷u ⁰?
1	258	comparative degree	comparativedegree	0.67	⁰? ²⁰o ¹¹⁶k
1	259	cook	cook	0.33	⁰? ⁰? ⁸²ŋ
1	260	copula, existential	?	0.50	³²b ⁰?
1	261	copula, negative	copulanegative	0.50	³²b ⁰?
1	262	copula, negative	copulanegative	0.50	⁰? ²⁸u
1	263	corpse	corpse	0.33	⁰? ⁰? ¹⁶w
1	265	cotton	cotton	0.25	⁰? ⁰? ⁰? ⁴³j
1	266	cotton	cotton	0.33	⁰? ²⁰a ⁰?
1	268	cough (vi)	coughvi	0.50	⁰? ³¹u
1	269	count	count	0.00	⁰? ⁰? ⁰? ⁰?
1	270	cover (v)	coverv	0.75	³¹tʰ ⁰? ¹¹a ⁹³ŋ
1	271	creeper, vine	vine	1.00	³¹tʰ ²⁰a ¹¹⁶k
1	272	creeper, vine	creepervine	1.00	⁴kh|³⁶kʰ ³¹u
1	273	crow	crow	0.00	⁰? ⁰? ⁰?
1	274	crow	crow	0.00	⁰? ⁰?
1	276	short	?	1.00	³¹tʰ ¹⁴a|⁴⁵u ⁶m|⁸²ŋ
1	277	cucumber	cucumber	0.33	⁰? ⁰? ¹⁸m
1	278	cucumber	cucumber	0.67	⁰? ³⁸u ⁸²ŋ
1	279	curcuma sp.	curcumasp	1.00	³²b ³o ¹⁵s
1	280	cure (vi)	curevi	0.67	⁸dʑ ⁷²a ⁰?
1	281	cut	cut	0.00	⁰? ⁰? ⁰?
1	282	dance	dance	0.50	⁰? ³⁰a
1	283	trunk (tree)	?	1.00	³¹tʰ ²⁴u ⁶m|⁸²ŋ
1	284	daughter	mu-suffix	0.50	⁰? ²⁸u
1	285	daughter-in-law	daughterinlaw	1.00	¹³tɕʰ ⁷²a ¹⁴m
1	286	pull	?	0.50	⁰? ⁰? ¹¹a ⁹³ŋ
1	287	day after tomorrow	dayaftertomorrow	0.33	³⁶l ⁰? ⁰?
1	288	day after tomorrow	dayaftertomorrow	1.00	³⁶l ³⁰a
1	289	day after two days	dayaftertwodays	0.00	⁰? ⁰? ⁰?
1	290	day after two days	dayaftertwodays	0.67	³⁶l ³o ⁰?
1	291	day before two days	daybeforetwodays	0.33	⁰? ⁰? ³k
1	292	day before two days	daybeforetwodays	0.33	⁰? ⁰? ⁴³j
1	296	day before two days	daybeforetwodays	0.50	⁰? ³²I
1	297	day before yesterday	daybeforeyesterday	0.67	³⁶kʰ ⁰? ³k
1	298	day before yesterday	daybeforeyesterday	0.00	⁰? ⁰?
1	300	day before yesterday	daybeforeyesterday	0.00	⁰? ⁰?
1	301	peas	peas	0.33	⁰? ³u|⁶a ⁰?
1	302	deaf	deaf	0.50	⁰? ⁰? ³a ⁸⁹ŋ
1	306	deep	deep	0.00	⁰? ⁰?
1	307	lie (n)	?	1.00	¹⁸s
1	308	push	?	0.50	⁰? ³u
1	310	deer, barking	deerbarking	0.00	⁰? ⁰? ⁰?
1	311	deer, barking	deerbarking	0.50	⁰? ¹⁴I
1	312	goat	sa-prefix6	0.00	⁰? ⁰?
1	313	deer, sambar	deersambar	0.33	⁰? ²⁴u ⁰?
1	314	defeat (vi)	defeatvi	1.00	²³pʰ ¹⁴a ¹⁸m
1	315	deity, ghost	deityghost	0.50	⁰? ⁴a
1	316	deity, ghost	deityghost	0.50	⁰? ¹⁵a
1	318	descend	descend	1.00	²¹j ³¹u
1	319	die	die	1.00	¹⁴I
1	320	dig	dig	1.00	²¹j ²⁰o ¹¹⁶k
1	321	dirty	dirty	0.33	⁰? ⁵a ⁰?
1	322	soft / smooth	?	1.00	²⁵d ¹⁴a|⁴⁵u ⁶m|⁸²ŋ
1	324	disease	disease	0.67	⁰? ¹⁴a|⁴⁵u ⁶m|⁸²ŋ
1	325	do	do	0.00	⁰? ⁰?
1	326	pull	pull	1.00	⁴g ¹⁴I
1	327	dog	dog	1.00	³¹tʰ ⁸I
1	328	few, little	?	1.00	³tsʰj|³tɕʰw ³a|⁸I
1	329	walk, move, go	?	0.50	⁰? ⁴a
1	330	dog, wild	dogwild	0.33	⁰? ⁰? ¹⁹w
1	331	door	door	0.33	⁰? ⁰? ¹⁶w
